,mjd,dm,width,bw,peakf,fluence,E
358,58727.971658543,565.5,3.86,0.2,65.39,0.2524,2.702e+38
359,58727.973011852,564.8,4.02,0.2,82.7,0.3325,3.559e+38
360,58727.976479774006,568.5,6.92,0.3,13.19,0.0912,9.763999999999998e+37
361,58727.979717135,566.0,6.01,0.23,17.25,0.1036,1.109e+38
362,58727.98108344401,568.5,6.51,0.23,8.493,0.0553,5.915e+37
363,58727.981978004005,566.3,6.34,0.16,6.883,0.0437,4.673e+37
364,58727.982031235995,566.0,3.88,0.4,23.014,0.0894,9.565e+37
365,58727.984559171,566.0,3.94,0.17,14.551,0.0574,6.143999999999999e+37
366,58727.986802065,566.0,2.66,0.25,7.795,0.0207,2.216e+37
367,58727.98962489,565.5,6.47,0.35,705.04,4.5616,4.883e+39
368,58727.994825462,566.0,3.29,0.29,9.108,0.0299,3.204e+37
369,58727.99694310901,566.7,6.47,0.13,4.98,0.0322,3.4519999999999996e+37
370,58727.997917937,569.4,11.03,0.05,27.66,0.3051,3.266e+38
371,58727.99987505,565.6,3.5,0.05,48.82,0.1709,1.829e+38
372,58728.001683903,567.2,4.18,0.4,94.36,0.3944,4.222e+38
373,58728.001741661,562.2,1.81,0.4,74.3,0.1345,1.44e+38
374,58728.001741700995,562.1,4.69,0.3,153.4,0.7195,7.702e+38
375,58728.002466245,566.1,3.38,0.2,48.17,0.1628,1.743e+38
376,58728.005099678,566.5,16.57,0.25,39.37,0.6524,6.982999999999999e+38
377,58728.006869155,562.6,5.93,0.4,107.36,0.6366,6.815e+38
378,58728.012683572,566.6,8.9,0.1,32.19,0.2865,3.067e+38
379,58728.014628540994,569.0,5.42,0.125,4.573,0.0248,2.6539999999999996e+37
380,58728.014753972006,565.5,4.06,0.1,53.74,0.2182,2.336e+38
381,58728.014754022,564.1,4.72,0.105,15.846,0.0748,8.0069999999999995e+37
382,58728.01475407599,566.5,2.68,0.2,38.91,0.1043,1.116e+38
383,58728.01510206,564.5,7.98,0.04,5.438,0.0434,4.645e+37
384,58728.020969045996,565.1,3.71,0.2,711.8,2.6408,2.827e+39
385,58728.021642554006,566.0,2.81,0.09,10.477,0.0294,3.1509999999999996e+37
386,58728.022013163,569.8,5.72,0.105,8.875,0.0508,5.437e+37
387,58728.02326283,563.7,6.2,0.18,9.493,0.0588,6.299e+37
388,58728.025301655995,566.0,6.89,0.05,11.433,0.0787,8.429999999999999e+37
389,58728.025301705995,563.2,6.69,0.2,50.73,0.3394,3.633e+38
390,58728.025749614004,565.6,10.2,0.1,23.84,0.2432,2.6030000000000003e+38
391,58728.026909372995,558.9,8.52,0.4,1.69,0.0144,1.5409999999999997e+37
392,58728.030213995,564.4,2.82,0.35,376.01,1.0603,1.135e+39
393,58728.030214,566.0,2.83,0.105,91.667,0.2599,2.7819999999999998e+38
394,58728.03167221099,566.0,3.17,0.205,5.227,0.0166,1.774e+37
395,58728.044366594004,569.0,4.09,0.26,9.115,0.0373,3.994e+37
396,58728.044896019004,566.0,4.16,0.13,17.5,0.0728,7.793e+37
397,58728.052382220994,566.0,2.9,0.3,12.698,0.0369,3.948e+37
398,58728.05716092,564.5,7.63,0.4,11.771,0.0898,9.612e+37
399,58728.057307835,570.0,9.26,0.25,103.63,0.9596,1.0269999999999998e+39
400,58728.059427792,564.0,5.01,0.4,399.1,1.9995,2.14e+39
401,58728.059427793,566.0,5.28,0.05,102.196,0.5392,5.772e+38
402,58728.06776948099,566.0,2.08,0.04,27.758,0.0577,6.177e+37
403,58728.067769482004,565.3,1.78,0.2,131.45,0.234,2.5049999999999997e+38
404,58728.06911092,566.0,3.03,0.4,10.948,0.0332,3.551e+37
405,58728.075077032,563.9,2.83,0.2,813.62,2.3025,2.4649999999999997e+39
406,58728.075077042005,566.0,2.88,0.39,193.721,0.5582,5.9749999999999996e+38
407,58728.07634740401,566.4,3.23,0.4,123.68,0.3995,4.276e+38
408,58728.077734777005,567.0,3.53,0.2,96.54,0.3408,3.648e+38
409,58728.95890780901,566.0,3.46,0.26,6.847,0.0237,2.5379999999999997e+37
410,58728.965670285,566.5,3.33,0.15,115.02,0.383,4.0999999999999996e+38
411,58728.968898360996,569.4,5.32,0.2,112.07,0.5962,6.382e+38
412,58728.97504815,565.1,2.13,0.05,93.12,0.1983,2.123e+38
413,58728.983983731,564.6,2.31,0.3,333.07,0.7694,8.236e+38
414,58728.984960172995,564.3,2.69,0.05,82.37,0.2216,2.372e+38
415,58728.988427881,567.2,6.04,0.15,87.38,0.5278,5.65e+38
416,58728.993927624004,566.0,3.24,0.2,187.03,0.606,6.487e+38
417,58729.002729388,562.5,1.74,0.05,81.42,0.1417,1.5169999999999998e+38
418,58729.003209837,567.2,4.04,0.05,48.92,0.1976,2.116e+38
419,58729.004947698,568.3,4.41,0.4,64.7,0.2853,3.0539999999999997e+38
420,58729.006687544,566.4,2.53,0.15,75.04,0.1898,2.032e+38
421,58729.008514024004,569.0,6.05,0.05,36.38,0.2201,2.356e+38
422,58729.009406471,568.0,5.77,0.15,47.36,0.2733,2.9249999999999996e+38
423,58729.01464233099,566.0,4.43,0.15,35.21,0.156,1.6699999999999999e+38
424,58729.014642592,568.0,4.05,0.15,51.07,0.2068,2.214e+38
425,58729.01464299599,569.8,6.95,0.15,29.39,0.2043,2.1869999999999997e+38
426,58729.014993412005,567.0,5.43,0.4,44.38,0.241,2.5800000000000002e+38
427,58729.015242789006,569.8,7.59,0.16,7.514,0.057,6.103999999999999e+37
428,58729.015584209,564.2,2.88,0.4,323.67,0.9322,9.978999999999999e+38
429,58729.015584262,564.4,3.51,0.4,87.36,0.3066,3.282e+38
430,58729.017058847996,564.6,2.02,0.05,86.7,0.1751,1.875e+38
431,58729.018066355995,564.7,2.88,0.4,10.1,0.0291,3.114e+37
432,58729.018066385,565.6,4.27,0.4,647.47,2.7647,2.9599999999999995e+39
433,58729.018066512,563.8,4.89,0.4,381.4,1.8651,1.997e+39
434,58729.018066596,563.8,4.71,0.4,218.79,1.0305,1.103e+39
435,58729.018204959,565.3,4.5,0.4,50.7,0.2281,2.4420000000000002e+38
436,58729.018378565,564.9,3.0,0.25,754.67,2.264,2.424e+39
437,58729.018476194,563.1,2.2,0.2,161.56,0.3554,3.8050000000000004e+38
438,58729.01864654,562.9,9.87,0.1,51.12,0.5046,5.401e+38
439,58729.019532739,563.6,2.02,0.4,277.29,0.5601,5.9960000000000005e+38
440,58729.02309456599,569.0,6.54,0.205,8.057,0.0527,5.643e+37
441,58729.023161806,565.0,5.43,0.18,4.42,0.024,2.5710000000000003e+37
442,58729.023957615,565.4,3.15,0.1,74.67,0.2352,2.5179999999999997e+38
443,58729.024756254,569.6,6.85,0.1,43.51,0.298,3.191e+38
444,58729.027076819,565.1,5.27,0.15,47.04,0.2479,2.654e+38
445,58729.030253300996,566.3,2.31,0.2,96.78,0.2236,2.3929999999999997e+38
446,58729.030253357,566.8,4.28,0.3,208.79,0.8936,9.566000000000001e+38
447,58729.031064914,566.7,5.46,0.2,76.28,0.4165,4.458e+38
448,58729.034311978,563.3,1.92,0.05,97.1,0.1864,1.996e+38
449,58729.037216964,566.1,1.8,0.3,88.94,0.1601,1.714e+38
450,58729.037216988,566.2,3.09,0.3,128.21,0.3962,4.2409999999999996e+38
451,58729.037340178,568.1,7.48,0.1,3.334,0.0249,2.668e+37
452,58729.042565897005,566.0,3.09,0.055,7.268,0.0225,2.4049999999999996e+37
453,58729.04357039,562.5,5.51,0.4,180.85,0.9965,1.0669999999999998e+39
454,58729.04357045401,562.5,10.49,0.4,97.97,1.0277,1.1e+39
455,58729.045838277,566.6,6.79,0.15,58.74,0.3988,4.269999999999999e+38
456,58729.047381468,563.5,2.21,0.2,118.53,0.262,2.8039999999999997e+38
457,58729.049558315,566.7,4.48,0.15,112.0,0.5018,5.371e+38
458,58729.051243539005,563.8,3.44,0.3,152.3,0.5239,5.6079999999999995e+38
459,58729.052212092996,564.0,3.74,0.3,158.39,0.5924,6.341e+38
460,58729.052212138,564.1,2.27,0.3,411.49,0.9341,9.999e+38
461,58729.055188277,568.4,5.63,0.2,42.26,0.2379,2.547e+38
462,58729.056098235,561.5,5.62,0.19,6.275,0.0352,3.7719999999999994e+37
463,58729.063070332995,564.6,3.18,0.4,1015.45,3.2291,3.457e+39
464,58729.063625838,569.4,8.41,0.15,67.67,0.5691,6.092e+38
465,58729.065374501,569.8,7.13,0.23,13.597,0.097,1.0380000000000001e+38
466,58729.065374567996,568.7,6.17,0.2,33.54,0.2069,2.215e+38
467,58729.069051964005,568.1,5.64,0.175,5.199,0.0293,3.1389999999999996e+37
468,58729.06916894599,569.5,4.12,0.15,183.88,0.7576,8.109999999999999e+38
469,58729.07227875599,563.4,2.88,0.25,116.19,0.3346,3.582e+38
470,58729.073079694004,564.9,2.1,0.3,583.18,1.2247,1.3109999999999998e+39
471,58729.076089350994,566.4,3.11,0.3,83.6,0.26,2.783e+38
472,58729.078359904,566.0,3.08,0.15,12.738,0.0392,4.198e+37
473,58729.08087947,568.5,4.31,0.19,12.439,0.0536,5.74e+37
474,58730.871337073,568.1,7.98,0.1,9.091,0.0725,7.764e+37
475,58730.87348693,567.0,6.88,0.15,57.11,0.3929,4.206e+38
476,58730.878462279004,567.6,3.19,0.09,10.18,0.0325,3.476e+37
477,58730.880265340995,569.5,8.43,0.05,38.7,0.3262,3.492e+38
478,58730.880983008,568.1,1.79,0.2,7.233,0.0129,1.383e+37
479,58730.88187545,566.0,3.84,0.105,5.511,0.0212,2.265e+37
480,58730.885466103,565.9,6.75,0.11,7.485,0.0505,5.405e+37
481,58730.886768291,563.4,1.3,0.4,280.7,0.3649,3.906e+38
482,58730.886768315,563.9,4.49,0.4,602.34,2.7045,2.895e+39
483,58730.886768625,566.0,3.81,0.4,306.64,1.1683,1.2509999999999999e+39
484,58730.890202679,569.8,7.0,0.24,8.688,0.0608,6.509999999999999e+37
485,58730.890244815,566.1,4.49,0.2,80.56,0.3617,3.872e+38
486,58730.890299695995,564.5,1.98,0.1,404.5,0.8009,8.574e+38
487,58730.890619232,564.5,1.51,0.1,126.09,0.1904,2.038e+38
488,58730.890935087,568.9,10.11,0.2,49.34,0.4988,5.34e+38
489,58730.891717875,565.7,5.09,0.1,74.08,0.3771,4.0359999999999996e+38
490,58730.89199659,570.0,12.28,0.22,63.84,0.784,8.391999999999999e+38
491,58730.892710817,565.3,12.41,0.1,32.13,0.3987,4.268e+38
492,58730.893067453,568.6,7.02,0.2,37.48,0.2631,2.817e+38
493,58730.894069352995,565.0,7.51,0.195,6.339,0.0476,5.096e+37
494,58730.894543674,566.9,3.56,0.25,100.85,0.359,3.8429999999999996e+38
495,58730.89483659901,566.3,7.81,0.25,44.67,0.3489,3.735e+38
496,58730.89483676,566.3,3.56,0.3,93.33,0.3322,3.557e+38
497,58730.899666023,567.7,9.28,0.4,60.76,0.5638,6.035999999999999e+38
498,58730.900487247,566.2,4.05,0.25,105.84,0.4286,4.5890000000000005e+38
499,58730.90214447,567.0,4.89,0.4,79.47,0.3886,4.16e+38
500,58730.903022744,567.7,3.89,0.15,112.65,0.4382,4.6909999999999996e+38
501,58730.903393843,566.1,3.2,0.15,130.08,0.4163,4.456000000000001e+38
502,58730.90502297,568.1,4.2,0.07,10.029,0.0421,4.504999999999999e+37
503,58730.905046852,566.0,2.98,0.105,10.013,0.0298,3.193e+37
504,58730.906044512005,562.4,3.08,0.13,12.501,0.0385,4.117e+37
505,58730.90696563599,564.4,3.51,0.3,1654.83,5.8084,6.218e+39
506,58730.9070085,563.6,1.93,0.4,539.55,1.0413,1.1149999999999999e+39
507,58730.907545592,563.6,2.71,0.2,446.93,1.2112,1.2969999999999998e+39
508,58730.907844147005,566.9,7.29,0.2,45.06,0.3285,3.516e+38
509,58730.908489265996,565.3,3.24,0.3,221.41,0.7174,7.679e+38
510,58732.868655452,561.9,5.35,0.18,6.087,0.0325,3.483e+37
511,58732.868758525,562.8,5.94,0.09,6.961,0.0414,4.43e+37
512,58732.868916895,566.0,3.76,0.17,10.114,0.0381,4.0730000000000004e+37
513,58732.869847142,566.0,4.69,0.21,17.479,0.082,8.778e+37
514,58732.870169445,566.0,6.74,0.26,25.356,0.1708,1.829e+38
515,58732.870480020996,566.0,3.54,0.17,17.748,0.0627,6.717e+37
516,58732.870850606,566.0,2.1,0.1,17.771,0.0373,3.9949999999999997e+37
517,58732.87131687401,566.3,3.49,0.105,14.689,0.0513,5.489e+37
518,58732.876086430995,566.0,3.13,0.105,18.6,0.0582,6.228e+37
519,58732.87670819,565.4,5.54,0.35,11.127,0.0616,6.594e+37
520,58732.877561933,566.0,2.97,0.07,12.889,0.0383,4.0949999999999997e+37
521,58732.878372149,563.7,7.2,0.08,6.083,0.0438,4.689e+37
522,58732.878786935,569.4,8.56,0.14,8.975,0.0768,8.224e+37
523,58732.878953285996,566.0,3.63,0.16,27.168,0.0985,1.0549999999999998e+38
524,58732.87998745099,566.0,4.48,0.405,24.246,0.1086,1.162e+38
525,58732.880153199,566.0,4.69,0.2,24.041,0.1127,1.2059999999999998e+38
526,58732.952323410995,565.9,7.53,0.13,7.779,0.0586,6.270999999999999e+37
527,58732.953026072995,565.7,3.18,0.1,64.35,0.2046,2.1909999999999998e+38
528,58732.953170125,566.0,4.87,0.2,16.394,0.0798,8.547e+37
529,58732.95342329,565.2,1.65,0.15,50.09,0.0827,8.846999999999998e+37
530,58732.954034308,561.5,4.3,0.165,20.255,0.0872,9.330999999999999e+37
531,58732.954245470995,566.7,2.96,0.11,6.917,0.0205,2.192e+37
532,58732.954344729005,564.1,5.71,0.2,9.535,0.0544,5.827e+37
533,58732.954595908,567.7,6.27,0.2,67.24,0.4216,4.513e+38
534,58732.954869859,566.0,6.4,0.11,15.626,0.0999,1.07e+38
535,58732.95492757401,566.0,5.28,0.2,15.808,0.0834,8.927e+37
536,58732.95566498,565.4,8.0,0.1,158.47,1.2678,1.357e+39
537,58732.955665081,566.0,7.72,0.18,50.363,0.3888,4.162e+38
538,58732.956126048,564.0,2.66,0.15,142.2,0.3782,4.0490000000000004e+38
539,58732.956126058,566.0,3.77,0.21,29.656,0.1119,1.1979999999999999e+38
540,58732.956223954,566.0,2.36,0.13,14.752,0.0348,3.724e+37
541,58732.95641438,564.2,3.51,0.22,65.14,0.2286,2.4479999999999998e+38
542,58732.956414419,561.5,12.51,0.19,12.831,0.1606,1.719e+38
543,58732.95741704,566.0,2.34,0.16,11.181,0.0262,2.806e+37
544,58732.95859089599,566.0,3.15,0.3,17.769,0.0559,5.9839999999999995e+37
545,58732.959134328,567.5,11.33,0.25,56.23,0.6371,6.82e+38
546,58732.95935116099,567.2,7.3,0.16,7.21,0.0526,5.6309999999999995e+37
547,58732.959623565,569.8,3.67,0.05,5.192,0.019,2.0369999999999998e+37
548,58732.95975481901,566.0,3.03,0.03,20.321,0.0616,6.591999999999999e+37
549,58732.960040324004,568.4,4.81,0.1,81.57,0.3923,4.2e+38
550,58732.960192916,564.1,6.47,0.14,11.596,0.075,8.031e+37
551,58732.960739959,565.4,3.53,0.12,10.955,0.0387,4.1449999999999994e+37
552,58732.96268996,565.4,4.14,0.21,394.235,1.6337,1.749e+39
553,58732.962867195994,566.0,2.83,0.13,15.453,0.0437,4.679999999999999e+37
554,58732.962914876,563.7,2.3,0.15,9.943,0.0229,2.4529999999999996e+37
555,58732.962966373,566.2,4.18,0.35,50.14,0.2096,2.2440000000000003e+38
556,58732.963464707995,565.9,6.32,0.29,12.091,0.0764,8.176e+37
557,58732.963779690996,568.5,3.95,0.17,15.509,0.0612,6.552999999999999e+37
558,58732.963782645,567.2,8.3,0.17,10.432,0.0866,9.266e+37
559,58732.964678667995,567.6,4.18,0.1,9.14,0.0382,4.0890000000000004e+37
560,58732.964964135,564.5,3.72,0.12,17.344,0.0645,6.909e+37
561,58732.965864082995,568.8,4.06,0.1,84.25,0.3421,3.662e+38
562,58732.965945817996,563.7,2.29,0.15,67.67,0.155,1.659e+38
563,58732.966705905994,567.2,4.0,0.05,9.961,0.0398,4.26e+37
564,58732.967112403,569.7,3.82,0.25,80.11,0.306,3.2759999999999997e+38
565,58732.967112405,566.0,4.06,0.15,21.674,0.088,9.425e+37
566,58732.967296849005,565.5,4.46,0.4,108.82,0.4853,5.195e+38
567,58732.967307118,568.5,3.32,0.1,10.577,0.0351,3.753e+37
568,58732.967534865,566.0,3.84,0.4,26.733,0.1028,1.1e+38
569,58732.967534867,566.7,4.11,0.4,102.1,0.4196,4.4919999999999996e+38
570,58732.96767486099,566.0,4.61,0.16,11.908,0.0549,5.872e+37
571,58732.967804005,563.9,2.89,0.4,279.16,0.8068,8.635999999999999e+38
572,58732.967804022,566.0,8.62,0.5,131.124,1.1308,1.2099999999999999e+39
573,58732.969337565,564.2,4.37,0.4,126.69,0.5536,5.926999999999999e+38
574,58732.969337593,566.0,4.47,0.5,67.292,0.3011,3.224e+38
575,58732.969435287,566.0,3.25,0.095,7.593,0.0247,2.644e+37
576,58732.970732245994,563.4,4.11,0.4,727.59,2.9904,3.201e+39
577,58732.970732256,566.0,9.69,0.5,353.03,3.4194,3.6599999999999996e+39
578,58732.970815125,569.8,4.28,0.13,5.793,0.0248,2.657e+37
579,58732.972298552995,567.2,6.7,0.12,11.73,0.0786,8.414999999999998e+37
580,58732.972711885996,566.0,3.17,0.03,10.061,0.0319,3.419e+37
581,58732.97303679401,563.7,9.17,0.25,8.861,0.0813,8.7e+37
582,58732.97306054,567.6,7.77,0.1,5.712,0.0444,4.75e+37
583,58732.973116815,566.0,1.85,0.12,18.385,0.034,3.637e+37
584,58732.973186997995,566.0,4.32,0.13,11.847,0.0512,5.484e+37
585,58732.973971205,564.2,3.76,0.1,124.21,0.467,4.9989999999999996e+38
586,58732.973971228,566.0,4.69,0.4,27.183,0.1275,1.365e+38
587,58732.974367635,566.0,2.18,0.14,12.231,0.0266,2.852e+37
588,58732.974600192,564.9,2.63,0.1,70.72,0.186,1.991e+38
589,58732.974977695,562.7,3.34,0.3,116.9,0.3905,4.18e+38
590,58732.97497771,566.0,4.98,0.19,21.727,0.1082,1.1579999999999999e+38
591,58732.975286059,566.0,3.86,0.16,17.328,0.0669,7.1639999999999995e+37
592,58732.975593219,566.0,4.04,0.13,12.168,0.0492,5.266e+37
593,58732.975965649006,566.0,2.89,0.07,12.09,0.035,3.744e+37
594,58732.975990923,564.2,2.87,0.2,141.21,0.4053,4.338e+38
595,58732.975990932006,566.0,3.04,0.17,38.054,0.1156,1.2370000000000001e+38
596,58732.976424175,565.0,6.6,0.13,9.571,0.0632,6.759999999999999e+37
597,58732.976571315,566.0,3.55,0.08,14.701,0.0521,5.581e+37
598,58732.977039631,558.0,5.57,0.12,4.769,0.0266,2.845e+37
599,58732.977563519,563.2,1.87,0.1,87.01,0.1627,1.742e+38
600,58732.977597324,567.2,78.52,0.17,9.99,0.7844,8.397e+38
601,58732.979596159006,564.7,10.58,0.15,49.36,0.5222,5.5899999999999996e+38
602,58732.979835785,564.1,6.96,0.06,9.351,0.0651,6.969999999999999e+37
603,58732.979952333,567.3,6.15,0.25,74.1,0.4557,4.878e+38
604,58732.980591159,565.4,9.12,0.18,11.72,0.1069,1.144e+38
605,58732.980598193,565.4,5.82,0.1,7.01,0.0408,4.364e+37
606,58732.981322137995,566.0,3.95,0.07,13.595,0.0537,5.745e+37
607,58732.982078055,566.0,3.73,0.26,11.732,0.0438,4.685e+37
608,58732.982584050995,567.6,5.9,0.2,13.353,0.0788,8.439999999999999e+37
609,58732.983023763,566.0,3.92,0.08,14.856,0.0583,6.24e+37
610,58732.983602732995,569.4,3.0,0.34,11.444,0.0344,3.68e+37
611,58732.983666084,566.3,6.77,0.11,15.811,0.107,1.146e+38
612,58732.983872265,569.4,4.38,0.2,21.562,0.0944,1.01e+38
613,58732.983903349006,564.6,2.45,0.05,83.32,0.2041,2.185e+38
614,58732.983903357,564.1,3.45,0.3,21.542,0.0743,7.948999999999999e+37
615,58732.985265530995,566.0,3.29,0.08,12.339,0.0406,4.344e+37
616,58732.985768403,567.2,3.29,0.1,62.27,0.2049,2.193e+38
617,58732.986154570994,564.5,5.7,0.07,9.919,0.0566,6.054999999999999e+37
618,58732.986559983,559.7,2.4,0.07,5.192,0.0125,1.3349999999999998e+37
619,58732.987803415,556.7,7.81,0.15,2.447,0.0191,2.0459999999999997e+37
620,58732.988103040996,563.2,3.82,0.4,7.613,0.0291,3.113e+37
621,58732.988630873,564.1,3.01,0.2,15.248,0.0459,4.909e+37
622,58732.988697512,566.0,3.86,0.1,11.908,0.046,4.923e+37
623,58732.98899054,557.1,6.28,0.15,3.583,0.0225,2.407e+37
624,58732.989558098,566.0,3.34,0.11,12.495,0.0418,4.471e+37
625,58732.989854519,563.2,3.74,0.1,3.348,0.0125,1.342e+37
626,58732.990345766,563.7,6.67,0.13,16.596,0.1106,1.1839999999999999e+38
627,58732.990365735,567.2,5.74,0.07,11.181,0.0642,6.87e+37
628,58732.990610342,566.0,3.11,0.12,12.151,0.0378,4.045e+37
629,58732.991126048,561.9,4.93,0.42,15.976,0.0788,8.435e+37
630,58732.991566253,568.1,3.28,0.18,6.537,0.0214,2.295e+37
631,58732.991959144005,565.4,7.54,0.09,7.673,0.0579,6.197e+37
632,58733.900010180994,568.9,3.37,0.05,64.74,0.2182,2.336e+38
633,58733.90169446,563.9,4.21,0.4,861.12,3.6253,3.8809999999999995e+39
634,58733.901694602995,566.3,4.38,0.4,327.06,1.4325,1.5329999999999998e+39
635,58733.902458274,567.5,7.63,0.3,97.26,0.7421,7.944e+38
636,58733.90245829,568.2,3.42,0.2,325.54,1.1134,1.1919999999999999e+39
637,58733.902474103,564.7,2.8,0.27,675.2,1.8906,2.024e+39
638,58733.902474105,564.7,2.8,0.27,676.3,1.8936,2.027e+39
639,58733.903045636,566.2,4.16,0.3,54.62,0.2272,2.4319999999999998e+38
640,58733.90304575,566.4,4.8,0.3,80.01,0.3841,4.110999999999999e+38
641,58733.903382434,565.9,8.17,0.11,13.691,0.1119,1.1970000000000001e+38
642,58733.905241182,564.5,2.67,0.4,842.39,2.2492,2.4079999999999998e+39
643,58733.905858627004,569.2,7.1,0.2,70.43,0.5,5.353e+38
644,58733.905858642,569.1,7.1,0.22,70.8,0.5027,5.381e+38
645,58733.906509252,563.9,4.5,0.15,65.3,0.2939,3.146e+38
646,58733.906509255,563.9,9.72,0.2,161.34,1.5682,1.679e+39
647,58733.906509369,563.9,5.93,0.25,95.16,0.5643,6.0410000000000005e+38
648,58733.90785985,567.5,4.67,0.3,94.18,0.4398,4.708e+38
649,58733.907859872,567.5,5.45,0.4,44.56,0.2429,2.6e+38
650,58733.910312411,564.8,5.95,0.3,97.35,0.5792,6.201e+38
651,58733.910312413,564.9,5.95,0.301,97.35,0.5792,6.201e+38
652,58733.912430508,563.2,4.1,0.4,136.46,0.5595,5.989e+38
653,58733.912430509,563.2,3.8,0.4,133.1,0.5058,5.413999999999999e+38
654,58733.912430829005,563.6,3.41,0.4,168.71,0.5753,6.158999999999999e+38
655,58733.912430833,563.6,2.8,0.4,42.76,0.1197,1.282e+38
656,58733.912851239,567.4,9.99,0.17,86.76,0.8667,9.278e+38
657,58733.912851251,567.4,8.7,0.15,84.3,0.7334,7.851e+38
658,58733.913161412005,565.1,1.3,0.2,254.3,0.3306,3.539e+38
659,58733.913161418,565.1,1.32,0.4,554.89,0.7325,7.841e+38
660,58733.913557158,564.4,2.18,0.4,244.26,0.5325,5.7e+38
661,58733.913557162,564.3,2.1,0.4,243.16,0.5106,5.466e+38
662,58733.913711815,570.0,6.99,0.15,46.76,0.3268,3.499e+38
663,58733.913760330994,565.0,4.6,0.19,4.788,0.022,2.355e+37
664,58733.914038777,565.2,3.18,0.07,119.91,0.3813,4.082e+38
665,58733.914038784,565.2,3.6,0.29,110.2,0.3967,4.2469999999999995e+38
666,58733.915528583,567.8,8.06,0.11,70.56,0.5687,6.088e+38
667,58733.915528588,567.8,6.01,0.17,81.4,0.4892,5.237e+38
668,58733.915571347,568.9,6.84,0.15,92.14,0.6302,6.747e+38
669,58733.915571357,568.9,4.8,0.15,73.1,0.3509,3.756e+38
670,58733.916132811,564.5,4.17,0.06,2.488,0.0104,1.111e+37
671,58733.91672251,568.5,9.5,0.07,46.44,0.4412,4.7229999999999996e+38
672,58733.916722514005,568.5,3.4,0.13,63.21,0.2149,2.3010000000000002e+38
673,58733.91692576,565.2,2.45,0.05,67.15,0.1645,1.7609999999999998e+38
674,58733.916925966,563.1,6.05,0.08,16.24,0.0983,1.052e+38
675,58733.916926157,562.7,2.74,0.1,50.53,0.1384,1.482e+38
676,58733.917375268,565.9,0.34,0.105,4.741,0.0016,1.727e+36
677,58733.918090562,566.0,7.58,0.06,72.68,0.5509,5.897e+38
678,58733.91809060099,566.0,7.54,0.1,68.71,0.5181,5.5460000000000005e+38
679,58733.918527059,566.1,2.65,0.1,75.65,0.2005,2.1459999999999998e+38
680,58733.918653427005,568.3,9.13,0.3,90.56,0.8268,8.851000000000001e+38
681,58733.91865343,568.3,8.71,0.3,86.21,0.7509,8.038e+38
682,58733.91877649401,567.9,5.55,0.25,65.27,0.3623,3.878e+38
683,58733.919049257995,562.5,1.38,0.2,104.1,0.1437,1.538e+38
684,58733.919490158,565.5,2.26,0.12,90.33,0.2041,2.185e+38
685,58733.922554366,562.6,1.08,0.05,42.1,0.0455,4.866999999999999e+37
686,58733.923172712,564.2,1.83,0.1,77.33,0.1415,1.515e+38
687,58733.924198436,565.4,3.26,0.2,32.48,0.1059,1.133e+38
688,58733.924198899,566.4,2.33,0.15,45.16,0.1052,1.1259999999999999e+38
689,58733.92419924,566.4,4.41,0.15,50.19,0.2213,2.3690000000000003e+38
690,58733.924199397,566.4,4.24,0.15,54.08,0.2293,2.455e+38
691,58733.924411719,565.4,2.67,0.15,336.42,0.8982,9.616e+38
692,58733.924411721,565.4,1.01,0.15,59.61,0.0602,6.445e+37
693,58733.92509008099,566.3,5.36,0.1,63.06,0.338,3.6179999999999995e+38
694,58733.92669178599,562.4,4.4,0.05,11.228,0.0494,5.291999999999999e+37
695,58733.927318696,564.2,2.01,0.1,73.8,0.1483,1.588e+38
696,58733.927690364006,555.8,6.18,0.3,4.081,0.0252,2.6979999999999996e+37
697,58733.928217035,566.4,10.16,0.3,36.58,0.3716,3.978e+38
698,58733.928217205,564.5,3.06,0.3,56.07,0.1716,1.837e+38
699,58733.92845735,569.4,6.77,0.2,67.5,0.457,4.8920000000000006e+38
700,58733.929699545,566.0,3.45,0.18,8.216,0.0283,3.033e+37
701,58733.930019841,563.8,1.84,0.05,85.19,0.1568,1.6779999999999998e+38
702,58733.930019842,563.8,6.89,0.13,65.53,0.4515,4.8330000000000005e+38
703,58733.930442763,562.3,3.26,0.15,5.94,0.0194,2.0719999999999999e+37
704,58733.930559495995,564.8,5.89,0.1,77.85,0.4585,4.9089999999999996e+38
705,58733.930626087,566.0,7.87,0.1,22.839,0.1797,1.923e+38
706,58733.930626090994,564.6,2.39,0.15,111.52,0.2665,2.8530000000000002e+38
707,58733.930637383,566.4,7.83,0.15,36.09,0.2826,3.0249999999999997e+38
708,58733.930647495996,566.0,2.92,0.095,13.409,0.0392,4.194e+37
709,58733.930933352,568.1,7.21,0.29,15.148,0.1092,1.168e+38
710,58733.930933372,568.3,4.76,0.05,52.15,0.2482,2.6569999999999998e+38
711,58733.93107228,566.0,3.94,0.18,8.408,0.0331,3.548e+37
712,58733.9312431,565.6,4.61,0.07,18.113,0.0836,8.948e+37
713,58735.011288762995,569.4,8.71,0.11,10.801,0.0941,1.0069999999999999e+38
714,58735.01413535,564.0,7.6,0.2,41.57,0.3159,3.382e+38
715,58735.015124262005,564.2,2.56,0.4,220.16,0.5636,6.033e+38
