,mjd,dm,width,bw,peakf,fluence,E
81,58724.990468879005,564.6,2.54,0.31,29.24,0.0743,7.949999999999999e+37
82,58724.992182122995,563.8,5.13,0.36,9.33,0.0479,5.123999999999999e+37
83,58724.993445518,567.1,4.92,0.36,11.61,0.0571,6.115e+37
84,58724.99519062,568.6,1.82,0.36,24.35,0.0443,4.744e+37
85,58724.995190653,568.0,4.88,0.16,24.01,0.1172,1.254e+38
86,58724.997333743,567.8,3.42,0.18,14.924,0.051,5.463e+37
87,58725.876003232996,567.1,2.85,0.25,130.23,0.3712,3.973e+38
88,58725.876225404005,562.3,6.13,0.21,4.462,0.0274,2.928e+37
89,58725.880203167995,563.0,1.77,0.35,84.73,0.15,1.605e+38
90,58725.880203207,566.9,2.93,0.3,90.8,0.266,2.8479999999999996e+38
91,58725.88179116401,565.9,6.26,0.29,6.499,0.0407,4.3550000000000005e+37
92,58725.885653540994,566.0,3.84,0.15,14.537,0.0559,5.980999999999999e+37
93,58725.88575841,565.4,3.18,0.2,144.65,0.46,4.9240000000000006e+38
94,58725.887654087004,566.0,3.47,0.29,33.86,0.1175,1.258e+38
95,58725.887654100996,565.7,3.44,0.2,132.81,0.4569,4.891e+38
96,58725.888099642005,566.0,3.01,0.23,33.251,0.1001,1.072e+38
97,58725.888099645,566.1,2.83,0.1,122.03,0.3453,3.697e+38
98,58725.88861694,565.0,7.37,0.26,21.735,0.1601,1.714e+38
99,58725.888616945,564.1,3.98,0.1,105.27,0.419,4.485e+38
100,58725.88944555401,564.5,2.03,0.1,144.07,0.2925,3.1309999999999997e+38
101,58725.890731807995,566.1,4.44,0.1,62.65,0.2782,2.978e+38
102,58725.89319036,564.5,3.12,0.1,97.59,0.3045,3.259e+38
103,58725.896969716,559.7,3.66,0.18,20.889,0.0766,8.195e+37
104,58725.89877760901,568.5,8.88,0.13,11.459,0.1017,1.0889999999999999e+38
105,58725.900736313,566.7,4.92,0.13,13.059,0.0642,6.877e+37
106,58725.90101147,564.7,2.93,0.4,184.07,0.5393,5.772999999999999e+38
107,58725.901011486,566.0,3.34,0.45,44.469,0.1485,1.59e+38
108,58725.901675614004,566.0,3.37,0.12,18.75,0.0632,6.767999999999999e+37
109,58725.901684753,565.4,1.61,0.15,169.74,0.2733,2.9249999999999996e+38
110,58725.901684764,566.0,1.9,0.13,38.466,0.073,7.817999999999999e+37
111,58725.902434479,566.0,3.48,0.19,27.981,0.0974,1.043e+38
112,58725.902434492,566.5,4.25,0.2,90.21,0.3834,4.104e+38
113,58725.902874998,561.0,3.6,0.18,10.232,0.0369,3.9469999999999997e+37
114,58725.903052755,562.9,1.2,0.1,162.74,0.1953,2.091e+38
115,58725.903419641,567.2,11.65,0.105,8.136,0.0948,1.0149999999999999e+38
116,58725.915557003,568.5,5.89,0.2,18.22,0.1073,1.1479999999999998e+38
117,58725.916229819006,569.8,4.26,0.07,7.496,0.0319,3.4199999999999996e+37
118,58725.916365197,566.0,3.38,0.12,9.399,0.0318,3.402e+37
119,58725.917651625,566.0,3.37,0.105,14.154,0.0478,5.112e+37
120,58725.918913617,566.0,3.54,0.2,10.218,0.0362,3.87e+37
121,58725.920270327995,566.3,1.92,0.15,154.73,0.2971,3.18e+38
122,58725.920543411,567.7,4.11,0.4,60.17,0.2473,2.6469999999999998e+38
123,58725.920543516,562.1,3.7,0.4,134.23,0.4966,5.317e+38
124,58725.921183791,566.2,2.42,0.15,100.32,0.2428,2.599e+38
125,58725.925513630995,562.8,7.54,0.07,9.652,0.0728,7.793e+37
126,58725.92738041,566.0,3.84,0.16,14.12,0.0542,5.796999999999999e+37
127,58725.928638589,568.1,5.71,0.15,3.3,0.0188,2.0179999999999997e+37
128,58725.928938722005,564.8,6.12,0.4,73.38,0.4491,4.8070000000000004e+38
129,58725.928938767,563.7,13.42,0.3,11.882,0.1594,1.707e+38
130,58725.928938805,565.9,3.4,0.4,47.6,0.1618,1.7319999999999998e+38
131,58725.929864657,563.2,4.54,0.22,9.191,0.0417,4.468e+37
132,58725.931323731,567.6,7.91,0.29,15.082,0.1192,1.276e+38
133,58725.932386702996,566.0,3.81,0.3,13.725,0.0523,5.593e+37
134,58725.93295601,569.4,2.72,0.14,8.502,0.0231,2.475e+37
135,58725.936511438,564.1,1.67,0.1,114.48,0.1912,2.0470000000000002e+38
136,58725.937982134004,563.4,2.58,0.1,163.74,0.4224,4.522e+38
137,58725.937984158,564.9,28.3,0.2,233.25,6.601,7.065999999999999e+39
138,58725.939213347,567.7,8.39,0.36,81.22,0.6814,7.294999999999999e+38
139,58725.940506707004,569.4,3.52,0.28,14.28,0.0503,5.384e+37
140,58725.94090839,566.0,4.04,0.18,12.498,0.0505,5.403999999999999e+37
141,58725.941327953,566.0,3.92,0.2,17.39,0.0682,7.298e+37
142,58725.942245365,566.0,2.9,0.21,23.407,0.068,7.274e+37
143,58725.943248002004,563.7,2.41,0.19,9.808,0.0237,2.535e+37
144,58725.945390254004,565.4,2.2,0.26,34.554,0.0759,8.128999999999999e+37
145,58725.945538912005,564.2,2.35,0.15,94.99,0.2232,2.39e+38
146,58725.945934684,566.0,2.95,0.23,21.715,0.064,6.855e+37
147,58725.94628165,567.6,9.5,0.31,10.97,0.1042,1.116e+38
148,58725.946967027005,566.0,3.37,0.2,96.28,0.3245,3.473e+38
149,58725.94697605901,562.1,3.94,0.4,34.23,0.1349,1.4439999999999999e+38
150,58725.946976137006,567.7,4.6,0.4,33.35,0.1534,1.642e+38
151,58725.947440402,566.2,3.27,0.25,39.02,0.1276,1.3660000000000002e+38
152,58725.947440430995,567.2,3.78,0.19,21.292,0.0805,8.614000000000001e+37
153,58725.947440462005,567.6,3.0,0.2,42.6,0.1278,1.368e+38
154,58725.95114341,564.5,3.88,0.25,107.26,0.4162,4.455e+38
155,58725.953997840996,565.7,5.45,0.2,79.52,0.4334,4.639e+38
156,58725.954277635,563.7,4.53,0.2,62.35,0.2824,3.024e+38
157,58725.954685243,566.0,4.03,0.17,20.724,0.0835,8.943e+37
158,58725.954685303,570.0,6.71,0.4,39.63,0.2659,2.847e+38
159,58725.955426311,554.5,4.31,0.16,7.088,0.0306,3.2719999999999996e+37
160,58725.95594504401,566.0,5.08,0.165,15.97,0.0811,8.678000000000001e+37
161,58725.956416807,564.6,7.85,0.4,147.11,1.1548,1.2359999999999999e+39
162,58725.956416815,566.0,8.32,0.38,43.303,0.3602,3.8559999999999996e+38
163,58725.95660832,567.0,3.47,0.1,62.63,0.2173,2.326e+38
164,58725.95695775,566.0,3.39,0.2,10.926,0.037,3.962e+37
